datetime,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,boundary_layer_height,dewpoint_2m,shortwave_radiation,pm25,pm10,no2,so2,o3,co
2025-12-19 00:00:00,13.1,96,6.3,178,1008.7,0.0,15.0,12.4,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 01:00:00,12.8,96,5.2,174,1008.5,0.0,15.0,12.1,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 02:00:00,12.4,95,4.3,175,1008.5,0.0,15.0,11.8,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 03:00:00,11.9,96,4.0,177,1008.2,0.0,15.0,11.4,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 04:00:00,11.6,95,4.5,180,1008.4,0.0,15.0,10.9,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 05:00:00,11.9,97,6.5,174,1009.1,0.0,25.0,11.5,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 06:00:00,12.8,94,5.2,168,1009.2,0.0,20.0,11.8,4.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 07:00:00,15.1,84,3.8,183,1010.1,0.0,45.0,12.4,79.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 08:00:00,17.6,78,2.2,42,1010.6,0.0,115.0,13.6,199.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 09:00:00,19.6,75,4.4,30,1010.6,0.0,205.0,15.1,389.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 10:00:00,21.5,72,4.4,32,1009.2,0.0,350.0,16.2,523.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 11:00:00,22.9,67,3.4,47,1007.9,0.0,535.0,16.4,583.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 12:00:00,24.0,63,3.4,25,1006.5,0.0,665.0,16.5,574.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 13:00:00,24.4,61,4.2,5,1005.7,0.0,800.0,16.5,501.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 14:00:00,24.4,61,3.1,332,1005.2,0.0,875.0,16.4,371.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 15:00:00,23.5,67,3.2,326,1005.2,0.0,150.0,17.1,207.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 16:00:00,21.5,75,0.9,307,1005.6,0.0,20.0,16.8,53.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 17:00:00,19.3,82,3.0,232,1006.3,0.0,25.0,16.2,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 18:00:00,18.7,85,2.8,195,1006.7,0.0,20.0,16.0,0.0,77.43773663803545,122.20802807146536,,,,
2025-12-19 19:00:00,17.5,89,3.8,188,1007.3,0.0,15.0,15.7,0.0,77.43773663803545,122.20802807146536,37.611988533334106,19.458116680545444,54.23168115351386,1.2072403941325256
2025-12-19 20:00:00,16.6,92,5.3,190,1007.9,0.0,25.0,15.4,0.0,58.91555579700041,91.44140526774262,31.8622129567348,17.894038182490853,52.39863549688143,0.8570043570127481
2025-12-19 21:00:00,16.3,91,4.4,192,1008.3,0.0,25.0,14.8,0.0,66.00360956645166,131.99947482756068,33.71323599597402,11.598924943359599,46.457952811849836,0.6911005951485637
2025-12-19 22:00:00,16.0,90,3.6,189,1008.4,0.0,25.0,14.3,0.0,61.31131429553329,105.92608995977969,34.476136763842995,18.726415855882742,50.140644065328786,0.5607942758207953
2025-12-19 23:00:00,14.6,96,4.9,190,1008.2,0.0,20.0,13.9,0.0,33.410956377236154,64.69249467013125,25.223028878863165,14.213056423257015,35.167302296204234,0.914157366409115
